CLE;NATURE;NOM;SITUATION;GEOMETRIE;X_LONG;Y_LAT
16419;Double sens;rue du Haut Brion;;LINESTRING (-0.601995008024219 44.8208436265219, -0.602125602093169 44.8208493108288, -0.602231394707859 44.8208409167107, -0.602722062844173 44.820682420043);-0,601995008024219;44,8208436265219
16423;Double sens;rue Général du Cheyron;impair;LINESTRING (-0.556378408848278 44.8402192251118, -0.556030952766877 44.8394637766932);-0,556378408848278;44,8402192251118
16426;Double sens;rue de l'Abattoir;pair;LINESTRING (-0.559834072792199 44.82961678935, -0.559989672274347 44.8296786699289, -0.561127857462864 44.829935539967);-0,559834072792199;44,82961678935
16427;Double sens;place André Meunier dit Mureine;impair;LINESTRING (-0.56306446224176 44.8298530186796, -0.563014325414881 44.829971602716);-0,56306446224176;44,8298530186796
16428;Double sens;place André Meunier dit Mureine;impair;LINESTRING (-0.563014325414881 44.829971602716, -0.562897513666416 44.8302422578694, -0.562831320491707 44.8303550390046);-0,563014325414881;44,829971602716
16430;Double sens;place André Meunier dit Mureine;impair;LINESTRING (-0.561954541242493 44.8301251331606, -0.561127857462864 44.829935539967);-0,561954541242493;44,8301251331606
16433;Bande unilatérale;rue Lajaunie;impair;LINESTRING (-0.547952532182628 44.8568459112954, -0.543476771849555 44.8542686434945, -0.543352420464747 44.8541782021658, -0.543246870950143 44.8540907785762, -0.543179257125966 44.8540024442513, -0.543155831020751 44.8539366052714);-0,547952532182628;44,8568459112954
16435;Bande unilatérale;boulevard du Maréchal Leclerc;impair;LINESTRING (-0.594901081322149 44.8290014225999, -0.594311506377304 44.8286209888844, -0.594005410289937 44.8284341008976, -0.593236797473326 44.8279167186229);-0,594901081322149;44,8290014225999
16436;Bande unilatérale;boulevard du Maréchal Leclerc;impair;LINESTRING (-0.598485382478579 44.8314213898255, -0.598389929273995 44.8313078429959, -0.598225847476834 44.8311818732956);-0,598485382478579;44,8314213898255
16437;Bande unilatérale;boulevard du Maréchal Leclerc;impair;LINESTRING (-0.596142685838874 44.8298295802859, -0.594901081322149 44.8290014225999);-0,596142685838874;44,8298295802859
16438;Couloir bus;boulevard Antoine Gautier;pair;LINESTRING (-0.598476621302597 44.8323289700702, -0.5984612800707 44.8321725329093, -0.598433113518323 44.8318877745892, -0.598365879223588 44.8315348889183, -0.598360665489415 44.8315101912548);-0,598476621302597;44,8323289700702
16439;Bande unilatérale;leclerc;pair;LINESTRING (-0.592367455936024 44.8274645783629, -0.593132012916259 44.8279739868548, -0.594179666056007 44.8286382158016, -0.594752836048668 44.8290641192172, -0.595333774457658 44.829437887504, -0.596013806432563 44.829886171418, -0.596555495373352 44.8302433383252);-0,592367455936024;44,8274645783629
16440;Double sens;rue Joseph Le Brix;impair;LINESTRING (-0.613756589195145 44.8307116816672, -0.612856176676922 44.8309119703737, -0.61064137151443 44.8314215098133);-0,613756589195145;44,8307116816672
16441;Double sens;rue du Général de Larminat;pair;LINESTRING (-0.596528631477378 44.833148869748, -0.594980034584919 44.8331597951932, -0.594768388573035 44.8331885521167);-0,596528631477378;44,833148869748
16442;Bande unilatérale;boulevard du Maréchal Leclerc;impair;LINESTRING (-0.593236797473326 44.8279167186229, -0.592575092609225 44.8274652283431);-0,593236797473326;44,8279167186229
16443;Bande unilatérale;boulevard du Maréchal Leclerc;impair;LINESTRING (-0.598225847476834 44.8311818732956, -0.596875594300182 44.8303054645998, -0.596142685838874 44.8298295802859);-0,598225847476834;44,8311818732956
16445;Bande unilatérale;pont Jacques Chaban-Delmas;impair;LINESTRING (-0.553681899878567 44.8603157558809, -0.553171235258429 44.859773836136, -0.553025038486714 44.859627426652, -0.552435650894491 44.8590574242285, -0.552047562962503 44.8586934543778, -0.551612893759798 44.8582743670234, -0.551187442844144 44.8578567921845, -0.550637180698831 44.8573230337429, -0.550099293566289 44.8568090646837, -0.549665519903844 44.8563876006986, -0.549336355067755 44.8560688063405);-0,553681899878567;44,8603157558809
16447;Bande unilatérale;pont Jacques Chaban-Delmas;pair;LINESTRING (-0.553854036692008 44.8601887751158, -0.553631412208598 44.8600209714159, -0.553211756764935 44.8596177251985, -0.552612594147656 44.8590453263792, -0.551998002805893 44.8584484542539, -0.55132554885958 44.8578043813554, -0.550699982732089 44.8571995580837, -0.550129047354669 44.85664869677, -0.549466715439385 44.8559955606982);-0,553854036692008;44,8601887751158
16449;Couloir bus;;impair;LINESTRING (-0.606855612963917 44.8396590462435, -0.61224264101653 44.8392333479009, -0.612660789986946 44.8392084544715, -0.613142677276163 44.8391198295439, -0.614113687244253 44.8388945099068);-0,606855612963917;44,8396590462435
16451;Double sens;rue Jules Verne;impair;LINESTRING (-0.540573979682149 44.8519844106646, -0.539847526488519 44.8513814100093, -0.53981930313178 44.8513177914802, -0.539887249358187 44.8510984987132);-0,540573979682149;44,8519844106646
16453;Double sens;rue Roturier;;LINESTRING (-0.537839997591321 44.8502429010516, -0.537780537882916 44.8500191025276, -0.537703909948375 44.8496250487059, -0.53767492624145 44.8492335674697, -0.537684028932715 44.8490787097463);-0,537839997591321;44,8502429010516
16455;Double sens;rue Baudry Lacantinerie;pair;LINESTRING (-0.540379042632018 44.8495033125233, -0.537684028932715 44.8490787097463);-0,540379042632018;44,8495033125233
16457;Double sens;rue Baudry Lacantinerie;impair;LINESTRING (-0.540622350688022 44.8495371799875, -0.540379042632018 44.8495033125233);-0,540622350688022;44,8495371799875
